,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
233,3280,2001,410979781.0,9520.0,10928.0,0.0,37607.95946193265,0.0
234,3281,2001,20147512.0,0.0,0.0,0.0,inf,
235,3282,2001,46219308.0,373.0,426.0,0.0,108496.02816901408,0.0
236,3283,2001,4924857.0,815.0,835.0,0.0,5898.032335329342,0.0
237,3284,2001,48556615.0,1404.0,1495.0,0.0,32479.341137123745,0.0
238,3285,2001,15615714.0,572.0,569.0,0.0,27444.137082601053,0.0
239,3286,2001,10017736.0,443.0,460.0,0.0,21777.68695652174,0.0
240,3287,2001,8946750.0,156.0,156.0,0.0,57350.96153846154,0.0
241,3289,2001,13908957.0,389.0,428.0,0.0,32497.56308411215,0.0
242,3292,2001,2661375.0,203.0,229.0,0.0,11621.724890829695,0.0
243,3293,2001,7379343.0,127.0,131.0,0.0,56330.86259541985,0.0
244,3294,2001,14044614.0,436.0,494.0,0.0,28430.39271255061,0.0
245,3300,2001,153980417.0,4682.0,5028.0,0.0,30624.585719968178,0.0
246,3301,2001,8420379.0,0.0,0.0,0.0,inf,
247,3302,2001,7046916.0,160.0,161.0,0.0,43769.664596273295,0.0
248,3303,2001,5503801.0,122.0,121.0,0.0,45485.95867768595,0.0
249,3304,2001,43986195.0,1307.0,1405.0,0.0,31306.900355871887,0.0
250,3305,2001,201011802.0,4772.0,5281.0,0.0,38063.20810452566,0.0
251,3310,2001,3521167.0,206.0,222.0,0.0,15861.112612612613,0.0
252,3311,2001,40594785.0,699.0,748.0,0.0,54271.10294117647,0.0
253,3312,2001,4013290.0,740.0,762.0,0.0,5266.784776902887,0.0
254,3314,2001,12042778.0,324.0,331.0,0.0,36383.01510574018,0.0
255,3315,2001,26115224.0,823.0,903.0,0.0,28920.5138427464,0.0
256,3317,2001,2391700.0,0.0,0.0,0.0,inf,
257,3318,2001,20029036.0,944.0,1000.0,0.0,20029.036,0.0
258,3319,2001,6783385.0,142.0,158.0,0.0,42932.8164556962,0.0
259,3321,2001,15623354.0,494.0,510.0,0.0,30634.027450980393,0.0
260,3322,2001,3413828.0,,,0.0,,
261,3324,2001,8830179.0,460.0,460.0,0.0,19196.041304347826,0.0
