,postcode,year,viable_buildings,total_buildings,total_income,num_installs,average_income,install_percent
319,3442,2001,2423,2482,109082747.0,0.0,43949.535455278005,0.0
320,3444,2001,3321,3649,113932687.0,0.0,31222.98903809263,0.0
321,3446,2001,228,227,9002490.0,0.0,39658.54625550661,0.0
322,3447,2001,0,0,5360693.0,0.0,inf,
323,3448,2001,341,339,11160329.0,0.0,32921.32448377581,0.0
324,3450,2001,3108,3279,92306587.0,0.0,28150.834705702957,0.0
325,3451,2001,1858,1883,36142926.0,2.0,19194.331386086033,0.001076426264800861
326,3453,2001,308,319,20497971.0,0.0,64256.96238244514,0.0
327,3458,2001,513,520,20664295.0,0.0,39739.028846153844,0.0
328,3460,2001,973,1050,35917478.0,0.0,34207.1219047619,0.0
329,3461,2001,2400,2485,37482546.0,0.0,15083.519517102615,0.0
330,3462,2001,583,618,11331993.0,0.0,18336.558252427185,0.0
331,3463,2001,1100,1064,26480731.0,0.0,24887.90507518797,0.0
332,3464,2001,90,127,11916280.0,0.0,93828.97637795276,0.0
333,3465,2001,4501,4834,103941192.0,0.0,21502.108398841538,0.0
334,3467,2001,541,595,12740868.0,1.0,21413.223529411764,0.0018484288354898336
335,3468,2001,336,355,3165625.0,0.0,8917.25352112676,0.0
336,3469,2001,39,48,2581107.0,0.0,53773.0625,0.0
337,3472,2001,204,223,12380228.0,0.0,55516.71748878924,0.0
338,3475,2001,360,383,3889254.0,0.0,10154.710182767623,0.0
339,3478,2001,1932,2198,47938853.0,0.0,21810.215195632394,0.0
340,3480,2001,725,882,28130218.0,0.0,31893.67120181406,0.0
341,3482,2001,0,0,3354232.0,0.0,inf,
342,3483,2001,611,630,18418344.0,0.0,29235.466666666667,0.0
343,3485,2001,170,199,6737556.0,0.0,33857.065326633165,0.0
344,3490,2001,783,838,25799181.0,0.0,30786.612171837707,0.0
345,3491,2001,217,225,4820092.0,0.0,21422.63111111111,0.0
346,3494,2001,12,64,9971262.0,1.0,155800.96875,0.08333333333333333
347,3496,2001,2140,2347,83655771.0,0.0,35643.70302513847,0.0
348,3498,2001,2168,2268,55693016.0,0.0,24556.00352733686,0.0
349,3500,2001,9268,11098,289886088.0,0.0,26120.570192827538,0.0
350,3501,2001,624,820,44114960.0,0.0,53798.73170731707,0.0
351,3505,2001,1588,1787,52622899.0,0.0,29447.621152770007,0.0
352,3507,2001,0,0,4257735.0,0.0,inf,
353,3509,2001,183,180,7425347.0,0.0,41251.927777777775,0.0
354,3512,2001,194,201,8973983.0,0.0,44646.6815920398,0.0
355,3515,2001,443,518,11919631.0,0.0,23010.870656370655,0.0
356,3516,2001,279,322,9163011.0,0.0,28456.55590062112,0.0
357,3517,2001,708,694,16491591.0,0.0,23763.099423631123,0.0
358,3518,2001,562,627,13650349.0,0.0,21770.891547049443,0.0
359,3520,2001,52,63,1867602.0,0.0,29644.47619047619,0.0
360,3521,2001,260,273,6386453.0,0.0,23393.60073260073,0.0
361,3522,2001,68,73,3326151.0,0.0,45563.71232876712,0.0
362,3523,2001,1628,1768,26048659.0,0.0,14733.404411764706,0.0
363,3525,2001,849,865,20088587.0,0.0,23223.8,0.0
364,3527,2001,361,402,14005002.0,0.0,34838.31343283582,0.0
365,3530,2001,0,0,,0.0,,
366,3531,2001,172,164,4581580.0,0.0,27936.463414634145,0.0
367,3533,2001,293,305,15646563.0,0.0,51300.20655737705,0.0
368,3537,2001,544,564,19904371.0,0.0,35291.43794326241,0.0
369,3540,2001,234,241,7342615.0,0.0,30467.28215767635,0.0
370,3542,2001,60,58,5175683.0,0.0,89235.91379310345,0.0
371,3544,2001,59,59,6281690.0,0.0,106469.32203389831,0.0
372,3546,2001,197,215,11283780.0,0.0,52482.6976744186,0.0
373,3549,2001,1088,1537,48627518.0,0.0,31637.94274560833,0.0
374,3550,2001,14730,16654,569134655.0,0.0,34174.05157920019,0.0
375,3551,2001,5431,5602,241139370.0,0.0,43045.228489825065,0.0
376,3555,2001,5759,6463,208711072.0,0.0,32293.218629119605,0.0
377,3556,2001,3719,3803,117877244.0,0.0,30995.8569550355,0.0
378,3557,2001,349,352,9030561.0,0.0,25655.002840909092,0.0
379,3558,2001,320,363,14401590.0,0.0,39673.801652892565,0.0
380,3559,2001,38,44,7197855.0,0.0,163587.61363636365,0.0
381,3561,2001,2289,2468,71995059.0,0.0,29171.417747163694,0.0
382,3562,2001,123,149,3281797.0,0.0,22025.48322147651,0.0
383,3563,2001,331,339,10923582.0,0.0,32222.95575221239,0.0
384,3564,2001,5504,5779,212820772.0,0.0,36826.57414777643,0.0
385,3566,2001,265,296,7958524.0,0.0,26886.905405405407,0.0
386,3567,2001,154,166,13728100.0,0.0,82699.39759036145,0.0
387,3568,2001,1394,1515,46215923.0,0.0,30505.5597359736,0.0
388,3570,2001,541,556,10069682.0,0.0,18110.938848920865,0.0
389,3571,2001,198,209,5754073.0,0.0,27531.44976076555,0.0
390,3573,2001,151,154,5805928.0,0.0,37700.831168831166,0.0
391,3575,2001,475,521,12228611.0,0.0,23471.42226487524,0.0
392,3579,2001,2594,2757,74608027.0,0.0,27061.308306129853,0.0
393,3580,2001,406,415,11085995.0,0.0,26713.24096385542,0.0
394,3581,2001,58,55,1894560.0,0.0,34446.545454545456,0.0
395,3584,2001,559,614,14290372.0,0.0,23274.221498371335,0.0
