,"DETAILED TABLE 2.6b: Selected items, by taxable status, state/territory1 and postcode, 2010-11 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Non-taxable individuals,,,,,,,,Taxable individuals,,,,,,,,All individuals,,,,,,,
2,Postcode,State/Territory1,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax
3,,,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$
1654,4569,QLD,260,20,-62815,245,2884829,230,2665865,0,545,70,-146559,545,28232851,545,27043205,4844349,805,90,-209374,785,31117680,775,29709070,4844349
1655,4570,QLD,6870,680,-1022978,6465,64449029,5695,66380326,0,13285,1750,-5062905,13285,687513996,13285,654885999,114225636,20155,2430,-6085883,19750,751963025,18980,721266325,114225636
1656,4571,QLD,175,30,-11235,170,1454660,140,1551501,0,200,45,-163147,200,12206986,200,11485350,2328780,375,75,-174382,370,13661646,345,13036851,2328780
1657,4572,QLD,630,100,-348585,615,7093070,580,6616663,0,1645,295,-1744335,1645,104887737,1645,98774473,21178539,2275,395,-2092920,2255,111980807,2220,105391136,21178539
1658,4573,QLD,4005,540,-2912261,3870,43353252,3580,41959493,0,9050,1535,-8282872,9050,562592558,9050,535682532,115143688,13055,2080,-11195133,12920,605945810,12630,577642025,115143688
1659,4574,QLD,275,40,-975,265,2248436,225,2588956,0,435,55,-27993,435,23055234,435,21823677,4022659,710,95,-28968,700,25303670,660,24412633,4022659
1660,4575,QLD,3960,510,-2450308,3810,63677241,3530,40910208,0,9195,1585,-8596822,9195,569972716,9195,537666610,111898953,13155,2095,-11047130,13005,633649957,12725,578576818,111898953
1661,4580,QLD,915,105,-171410,870,10357766,835,10160570,0,1050,155,-239710,1050,53393107,1050,50978246,8421795,1965,260,-411120,1920,63750873,1885,61138816,8421795
1662,4581,QLD,240,25,-33402,230,2630202,215,2575840,0,395,65,-189386,395,19987552,395,18727860,3172109,635,90,-222788,625,22617754,610,21303700,3172109
1663,4600,QLD,180,25,-118066,170,1232803,125,1411939,0,225,25,-83057,225,12150635,225,11487174,1987710,405,45,-201123,395,13383438,355,12899113,1987710
1664,4601,QLD,305,25,20371,295,449728,200,2267664,0,290,35,-273031,290,14620699,290,13700756,2260192,595,60,-252660,585,15070427,490,15968420,2260192
1665,4605,QLD,790,65,7270,745,7446720,645,7781289,0,1270,150,-301468,1270,59632567,1270,56614935,8964085,2060,215,-294198,2015,67079287,1910,64396224,8964085
1666,4606,QLD,455,35,-8674,435,3516332,355,3843342,0,770,75,-176146,770,38072498,770,36162524,6078876,1225,110,-184820,1205,41588830,1125,40005866,6078876
1667,4608,QLD,180,20,-36495,180,1550622,150,1712073,0,260,30,-44415,260,13301835,260,12437570,2049072,440,50,-80910,440,14852457,410,14149643,2049072
