Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3472, VIC",792,0,5,28,0,0,0,35,3,5,18,889
"3475, VIC",231,0,0,0,0,0,0,0,0,6,3,241
"3477, VIC",429,0,0,0,0,0,0,12,7,6,0,451
"3478, VIC",1269,0,35,23,0,0,0,18,8,0,4,1356
"3480, VIC",825,3,22,28,0,0,0,9,0,0,3,895
"3482, VIC",103,0,0,0,0,0,0,0,0,0,0,103
"3483, VIC",405,0,0,31,0,0,0,0,0,0,0,445
"3485, VIC",188,0,0,0,0,0,0,10,0,0,0,200
"3487, VIC",38,0,0,0,0,0,0,4,0,0,0,49
"3488, VIC",63,0,0,0,0,0,0,0,0,0,0,63
"3489, VIC",41,0,0,0,0,0,0,0,0,0,0,41
"3490, VIC",657,0,0,26,0,0,0,27,0,4,0,714
"3491, VIC",71,0,0,0,0,0,0,0,0,0,0,71
"3494, VIC",286,0,0,13,0,0,0,24,23,0,0,351
"3496, VIC",2489,0,11,126,0,0,0,46,31,3,3,2719
"3498, VIC",1994,0,9,72,0,0,0,5,0,0,4,2086
"3500, VIC",11268,94,1953,1253,0,0,3,182,123,6,18,14893
"3501, VIC",676,0,0,4,0,0,0,9,18,0,0,713
"3505, VIC",1803,0,26,40,0,0,0,25,3,0,0,1904
"3506, VIC",19,0,0,0,0,0,0,0,0,0,0,22
"3507, VIC",79,0,0,4,0,0,0,0,0,0,0,86
"3509, VIC",119,0,0,0,0,0,0,0,0,0,0,119
"3512, VIC",205,0,3,0,0,0,0,4,0,0,0,215
"3515, VIC",685,0,0,0,0,0,0,4,15,0,0,704
"3516, VIC",323,0,0,0,0,0,0,0,0,0,3,329
"3517, VIC",685,0,0,14,0,0,0,16,0,13,5,729
"3518, VIC",766,0,4,20,0,0,0,23,3,6,0,825
"3520, VIC",99,0,0,0,0,0,0,0,3,3,0,109
"3521, VIC",276,0,0,0,0,0,0,0,0,0,0,278
"3522, VIC",166,0,0,0,0,0,0,0,0,0,0,166
"3523, VIC",2007,0,10,24,0,0,0,12,26,46,9,2130
"3525, VIC",659,0,9,9,0,0,0,4,0,0,0,693
"3527, VIC",405,0,4,10,0,0,0,4,0,0,4,434
"3529, VIC",43,0,0,0,0,0,0,0,0,0,0,43
"3530, VIC",72,0,0,0,0,0,0,0,0,0,0,68
"3531, VIC",80,0,0,0,0,0,0,0,0,0,0,80
"3533, VIC",380,0,3,12,0,0,0,9,0,0,8,419
"3537, VIC",480,0,0,25,0,0,0,0,0,6,5,509
"3540, VIC",146,0,0,12,0,0,0,0,0,0,0,162
"3542, VIC",71,0,0,0,0,0,0,0,0,0,0,71
"3544, VIC",123,0,0,0,0,0,0,3,0,0,0,128
"3546, VIC",190,0,5,0,0,0,0,0,0,0,0,197
"3549, VIC",1265,0,25,39,0,0,0,69,50,32,13,1493
"3550, VIC",15705,482,2557,331,172,5,0,0,0,5,40,19298
"3551, VIC",10729,0,21,22,0,0,0,39,43,31,4,10897
"3555, VIC",7886,50,659,268,0,16,0,65,48,3,9,9013
"3556, VIC",5389,0,393,66,0,0,0,9,0,0,10,5868
"3557, VIC",325,0,0,0,0,0,0,0,0,3,0,337
"3558, VIC",442,0,0,3,0,0,0,28,0,0,15,489
"3559, VIC",268,0,0,0,0,0,0,0,0,14,0,284
"3561, VIC",1868,0,31,71,0,0,0,8,19,0,3,2011
"3562, VIC",119,0,0,0,0,0,0,4,0,0,0,122
"3563, VIC",344,0,15,0,0,0,0,3,0,0,0,364
"3564, VIC",6054,23,825,101,0,0,0,38,18,0,8,7074
"3565, VIC",50,0,0,0,0,0,0,0,0,0,0,50
"3566, VIC",262,0,0,7,0,0,0,0,7,0,7,283
"3567, VIC",313,0,0,8,0,0,0,0,0,0,0,318
"3568, VIC",1366,0,8,58,0,0,0,13,3,0,5,1444
"3570, VIC",312,0,0,0,0,0,0,7,4,0,0,319
"3571, VIC",138,0,0,9,0,0,0,0,0,0,5,145
"3572, VIC",68,0,0,0,0,0,0,0,0,0,0,66
"3573, VIC",159,0,0,0,0,0,0,0,0,0,0,159
"3575, VIC",418,0,8,10,0,0,0,0,0,0,0,435
"3576, VIC",38,0,0,0,0,0,0,0,0,0,0,38
"3579, VIC",2524,0,7,94,0,0,0,38,6,0,4,2669
"3580, VIC",491,0,0,7,0,0,0,4,4,0,10,517
"3581, VIC",94,0,0,0,0,0,0,3,0,0,0,98
"3583, VIC",83,0,0,0,0,0,0,0,0,0,0,90
"3584, VIC",474,0,0,3,0,0,0,0,5,0,0,480
"3585, VIC",4106,11,327,462,0,0,0,46,5,0,16,4966
"3586, VIC",291,0,0,0,0,0,0,0,0,0,0,292
"3588, VIC",151,0,0,0,0,0,0,0,0,0,0,152
"3589, VIC",149,0,0,0,0,0,0,3,4,0,0,149
"3590, VIC",127,0,0,0,0,0,0,0,0,0,0,127
"3591, VIC",69,0,0,0,0,0,0,0,0,0,0,69
"3594, VIC",202,0,0,0,0,0,0,23,32,0,0,254
"3595, VIC",270,0,0,11,0,0,0,0,0,0,14,292
"3596, VIC",33,0,0,0,0,0,0,5,11,0,0,52
"3597, VIC",181,0,0,19,0,0,0,10,0,0,0,212
"3599, VIC",54,0,0,0,0,0,0,18,0,0,0,83
"3607, VIC",62,0,0,0,0,0,0,0,0,0,0,66
"3608, VIC",1239,0,26,64,0,0,0,17,39,22,11,1429
"3610, VIC",635,0,19,0,0,0,0,18,0,0,0,678
"3612, VIC",900,0,19,5,0,0,0,23,0,7,10,968
"3614, VIC",337,0,0,0,0,0,0,0,0,5,0,342
"3616, VIC",2066,0,168,30,0,0,0,21,10,0,3,2304
"3617, VIC",67,0,0,0,0,0,0,0,0,0,0,67
"3618, VIC",290,0,0,0,0,0,0,0,0,0,0,293
"3620, VIC",3155,0,61,355,0,0,8,20,0,0,0,3603
"3621, VIC",870,0,11,56,0,0,0,9,13,0,3,970
"3622, VIC",199,0,0,0,0,0,0,0,0,0,0,201
"3623, VIC",415,0,3,10,0,0,0,0,0,0,0,428
"3624, VIC",247,0,0,0,0,0,0,0,0,0,0,249
"3629, VIC",3328,4,543,15,27,0,0,80,162,8,10,4176
"3630, VIC",11210,123,1766,194,0,3,0,56,0,35,24,13415
"3631, VIC",4223,4,63,0,0,0,0,12,19,6,4,4336
"3633, VIC",219,0,0,0,0,0,0,18,16,0,0,249
"3634, VIC",718,0,0,0,0,0,0,0,0,0,4,719
"3635, VIC",234,0,0,0,0,0,0,10,0,0,0,248
"3636, VIC",2101,0,122,165,0,0,0,18,0,6,8,2419
"3637, VIC",231,0,0,0,0,0,0,0,0,0,0,231
"3638, VIC",867,0,6,54,0,0,0,14,19,4,8,972
"3639, VIC",298,0,5,0,0,0,0,10,9,0,0,315
"3640, VIC",380,0,0,0,0,0,0,0,0,5,0,380
"3641, VIC",510,0,3,10,0,0,0,5,0,0,3,535
"3646, VIC",245,0,0,0,0,0,0,0,0,0,5,246
"3647, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3649, VIC",198,0,0,0,0,0,0,5,3,0,0,205
"3658, VIC",2546,3,44,69,0,0,0,4,5,9,4,2688
