Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3666,2058,75,0,75,0,0,4,14,3,3,2239
3669,573,0,0,5,0,0,3,7,3,13,602
3670,184,0,0,0,0,0,0,0,0,0,181
3672,3580,173,0,378,0,0,4,19,0,19,4174
3673,1255,11,0,0,0,0,0,3,4,0,1271
3675,868,15,3,0,0,0,0,14,5,5,909
3677,5858,330,9,810,0,0,9,35,11,21,7075
3678,2567,9,0,13,0,0,3,47,14,4,2652
3682,313,0,0,0,0,0,0,3,0,0,319
3683,691,14,0,3,0,0,0,27,0,9,740
3685,958,6,0,113,0,0,0,13,5,3,1092
3687,302,0,0,34,0,0,0,0,0,3,340
3688,408,4,0,0,0,0,0,0,0,0,414
3690,9920,1082,57,1103,3,0,9,79,4,30,12294
3691,2339,6,3,32,0,0,7,28,29,5,2453
3694,0,0,0,0,0,0,0,0,0,0,0
3695,172,0,0,0,0,0,0,0,0,0,176
3697,273,0,0,9,0,0,0,8,0,0,295
3698,486,0,0,35,0,0,4,3,0,0,526
3699,571,15,0,97,0,14,0,0,0,0,712
3700,487,12,0,19,0,0,0,6,0,0,524
3701,674,0,0,3,0,0,0,6,4,0,689
3705,191,0,0,0,0,0,0,3,0,0,194
3707,860,0,0,23,0,0,0,3,5,8,903
3709,153,0,0,8,0,0,0,6,0,0,163
3711,271,0,0,0,0,0,0,6,0,0,276
3712,66,0,0,0,0,0,0,10,0,4,75
3713,906,3,0,8,0,0,0,41,0,0,964
3714,1572,24,0,119,0,0,0,32,8,11,1775
3717,1283,0,0,24,0,0,0,22,12,13,1349
3719,146,0,0,0,0,0,0,8,4,0,156
3720,774,0,0,0,0,0,0,15,22,0,809
3722,1659,24,7,152,0,0,0,30,3,8,1875
3723,2391,18,109,106,102,180,0,45,31,18,2997
3725,188,0,0,0,0,0,0,3,0,0,199
3726,188,0,0,0,0,0,0,0,0,0,188
3727,235,0,0,0,0,0,0,0,0,0,231
3728,372,0,0,7,0,0,0,3,0,0,382
3730,2794,170,11,439,9,0,3,83,9,17,3532
3732,255,12,0,0,0,0,0,0,0,0,266
3733,163,0,0,0,0,0,0,0,0,0,161
3735,329,0,0,4,0,0,0,0,3,3,344
3737,1864,48,10,78,0,0,3,23,0,13,2041
3738,62,0,0,0,0,0,0,3,0,0,65
3739,91,0,0,0,0,0,0,3,0,0,95
3740,458,18,0,20,0,0,0,12,0,5,506
3741,1300,120,26,226,105,232,7,56,0,10,2080
3744,270,14,0,3,0,0,0,3,0,3,298
3746,114,0,0,0,0,0,0,3,0,0,119
3747,1684,55,0,43,3,0,0,19,14,8,1833
3749,743,29,0,7,0,0,0,10,0,11,802
3750,141,0,0,0,0,0,0,0,0,0,142
3752,3652,120,172,114,0,0,0,3,0,0,4057
3753,423,0,3,4,0,0,0,9,0,0,439
3754,1360,0,0,0,0,0,0,0,0,3,1365
3756,2466,31,10,28,0,0,0,8,3,4,2551
3757,2530,107,7,114,3,0,7,11,6,16,2793
3758,515,0,0,0,0,0,0,0,0,0,513
3759,502,0,0,0,0,0,0,0,0,0,509
3761,545,0,0,0,0,0,0,3,0,0,546
3763,559,0,0,6,0,0,0,10,0,0,577
3764,2233,98,0,156,3,0,0,50,0,12,2550
3765,2157,57,19,56,0,0,3,0,0,0,2288
3766,505,0,0,0,0,0,0,0,0,0,508
3767,536,0,0,10,0,0,0,0,0,0,540
3770,1128,6,0,6,0,0,0,5,0,3,1154
3775,1457,18,10,17,0,0,8,13,9,3,1531
3777,3881,43,0,208,0,0,11,35,13,6,4194
3778,152,0,0,0,0,0,0,0,11,5,170
3779,360,3,0,9,0,0,0,0,0,11,388
3781,1628,0,0,0,0,0,0,3,0,7,1638
3782,2652,14,0,33,0,0,0,4,0,5,2705
3783,605,3,0,0,0,0,0,0,0,0,607
3785,0,0,0,0,0,0,0,0,0,0,0
3786,612,3,0,0,0,0,0,0,0,3,619
3787,362,0,0,0,0,0,0,0,0,0,366
3788,792,6,0,0,0,0,0,0,0,0,795
3789,93,0,0,0,0,0,0,0,0,0,93
3791,510,3,0,8,0,0,3,0,0,3,528
3792,381,0,0,0,0,0,0,0,0,0,381
3793,1274,0,0,43,0,0,8,10,0,0,1335
3795,727,0,0,0,0,0,4,3,8,9,748
3796,3096,36,10,24,0,0,3,9,3,3,3186
3797,1082,19,0,36,0,0,0,26,10,7,1192
3799,2604,15,0,26,0,0,3,40,4,5,2700
3800,0,0,0,3,28,0,0,0,0,0,36
3802,7823,56,41,130,3,7,10,10,0,3,8076
3803,2888,198,77,141,0,10,3,4,11,0,3330
3804,1718,0,0,0,0,0,0,0,0,0,1721
3805,15656,464,108,553,5,0,6,135,0,3,16928
3806,12077,673,216,599,0,0,0,0,0,5,13568
3807,1401,84,0,76,0,3,0,3,0,3,1570
3808,1022,3,0,0,0,0,0,3,0,0,1034
3809,801,0,15,3,0,0,0,66,0,0,881
3810,7435,196,33,542,8,31,4,56,19,0,8328
3812,890,0,0,12,0,0,0,3,0,0,903
3813,112,0,0,0,0,0,0,0,0,0,112
3814,687,0,0,13,0,0,0,5,3,4,710
3815,928,32,0,22,0,0,0,3,0,0,992
3816,823,0,0,10,0,0,0,14,0,0,852
3818,3455,50,0,230,0,0,3,72,4,9,3822
3820,4377,223,12,384,7,0,3,33,0,0,5037
3821,1113,0,0,0,0,0,3,15,0,0,1139
3822,231,4,0,0,0,0,0,0,0,0,230
3823,673,9,0,0,0,0,0,0,0,3,684
3824,1785,95,0,35,0,0,0,3,3,0,1924
3825,8124,227,3,926,4,4,4,31,3,8,9334
3831,626,0,0,18,0,0,3,14,0,0,666
3832,107,0,0,0,0,0,0,3,0,0,112
3833,250,0,0,10,0,0,0,7,3,9,280
3835,63,6,0,0,0,0,0,0,0,0,73
3840,6541,312,17,694,0,6,17,12,7,14,7624
3842,1789,6,19,60,0,0,0,0,0,0,1880
3844,9081,318,28,1124,8,0,4,111,22,10,10697
3847,845,0,0,37,0,0,0,8,0,0,888
3850,4887,282,16,555,43,0,0,42,4,19,5852
3851,3595,4,0,11,0,0,0,31,13,3,3651
3852,5,0,0,0,0,0,0,0,0,0,5
3854,501,0,0,12,0,0,0,0,0,0,509
